,lying,sitting,standing,walking,running,cycling,nordic_walk,stairs_up,stairs_down,vacuuming,ironing
lying,0.9935483870967742,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sitting,0.0022026431718061676,0.9691629955947136,0.011013215859030838,0.0,0.0,0.0,0.0,0.0,0.0,0.01762114537444934,0.0
standing,0.0,0.0,0.7645833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23541666666666666
walking,0.0,0.0,0.0,0.9960474308300395,0.0,0.0,0.0,0.0,0.003952569169960474,0.0,0.0
running,0.01809954751131222,0.0,0.0,0.0,0.9773755656108597,0.0022624434389140274,0.0,0.0,0.0,0.0,0.0022624434389140274
cycling,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nordic_walk,0.0,0.0,0.0,0.005671077504725898,0.0,0.001890359168241966,0.9924385633270322,0.0,0.0,0.0,0.0
stairs_up,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.015151515151515152,0.0,0.0
stairs_down,0.0,0.008968609865470852,0.0,0.0,0.0,0.0,0.0,0.004484304932735426,0.9865470852017937,0.0,0.0
vacuuming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007159904534606206,0.007159904534606206,0.9809069212410502,0.00477326968973747
ironing,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986666666666667
