true_activity,pred_activity,confidence,is_correct,traffic_light
lying,cycling,0.03,0,RED
lying,cycling,0.03,0,RED
lying,cycling,0.031,0,RED
lying,cycling,0.031,0,RED
lying,cycling,0.031,0,RED
lying,cycling,0.03,0,RED
lying,cycling,0.031,0,RED
lying,cycling,0.034,0,RED
lying,lying,0.033,1,RED
lying,lying,0.01,1,RED
lying,lying,0.027,1,RED
lying,lying,0.049,1,RED
lying,lying,0.009,1,RED
lying,lying,0.342,1,RED
lying,lying,0.916,1,GREEN
lying,lying,0.921,1,GREEN
lying,lying,0.912,1,GREEN
lying,lying,0.92,1,GREEN
lying,lying,0.921,1,GREEN
lying,lying,0.925,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.924,1,GREEN
lying,lying,0.924,1,GREEN
lying,lying,0.924,1,GREEN
lying,lying,0.924,1,GREEN
lying,lying,0.924,1,GREEN
lying,lying,0.924,1,GREEN
lying,lying,0.924,1,GREEN
lying,lying,0.922,1,GREEN
lying,lying,0.924,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.924,1,GREEN
lying,lying,0.924,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.924,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.924,1,GREEN
lying,lying,0.924,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.924,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.924,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
lying,lying,0.923,1,GREEN
