,importance
ankle_gyro_z_range,0.0200341172605384
ankle_acc16_x_mean,0.01617877994090137
chest_acc16_z_mean,0.015927941991263787
chest_acc_mag_std,0.01588758437445413
ankle_gyro_z_energy,0.01583775390769265
chest_acc16_y_max,0.013705383726500129
chest_tilt_proxy,0.013594757101378056
hand_acc_mag_delta_std,0.013553781901005842
chest_acc16_y_std,0.013516256354734501
hand_acc_mag_delta_mean,0.013259436098112426
chest_acc16_z_min,0.012812313594779037
chest_acc16_y_spectral_entropy,0.012532169303032801
ankle_acc16_x_energy,0.01213720603656267
ankle_acc16_x_max,0.011892487887722748
hand_acc16_y_peak_power,0.01170180952959447
hand_acc16_x_mean,0.011472229582192763
corr_chest_ankle,0.01101727869726676
hand_acc16_y_range,0.010975253404502573
hand_acc16_y_energy,0.010674383157348427
hand_acc16_x_max,0.01046134998624457
