true_activity,pred_activity,confidence,is_correct,traffic_light,routed
lying,lying,0.655,1,YELLOW,1
lying,lying,0.591,1,YELLOW,1
lying,lying,0.631,1,YELLOW,1
lying,lying,0.92,1,GREEN,1
lying,lying,0.919,1,GREEN,1
lying,lying,0.924,1,GREEN,1
lying,lying,0.932,1,GREEN,1
lying,lying,0.943,1,GREEN,1
lying,lying,0.965,1,GREEN,1
lying,lying,0.981,1,GREEN,1
lying,lying,0.994,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,1
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
lying,lying,1.0,1,GREEN,0
