true_activity,pred_activity,confidence,is_correct,traffic_light,y_true_enc,y_pred_enc
lying,cycling,0.002,0,RED,0,5
lying,cycling,0.002,0,RED,0,5
lying,cycling,0.002,0,RED,0,5
lying,cycling,0.002,0,RED,0,5
lying,cycling,0.002,0,RED,0,5
lying,cycling,0.002,0,RED,0,5
lying,cycling,0.002,0,RED,0,5
lying,cycling,0.002,0,RED,0,5
lying,lying,0.001,1,RED,0,0
lying,lying,0.001,1,RED,0,0
lying,lying,0.003,1,RED,0,0
lying,lying,0.001,1,RED,0,0
lying,lying,0.003,1,RED,0,0
lying,lying,0.011,1,RED,0,0
lying,lying,0.081,1,RED,0,0
lying,lying,0.479,1,YELLOW,0,0
lying,lying,0.665,1,YELLOW,0,0
lying,lying,0.686,1,YELLOW,0,0
lying,lying,0.803,1,GREEN,0,0
lying,lying,0.92,1,GREEN,0,0
lying,lying,0.946,1,GREEN,0,0
lying,lying,0.947,1,GREEN,0,0
lying,lying,0.959,1,GREEN,0,0
lying,lying,0.959,1,GREEN,0,0
lying,lying,0.934,1,GREEN,0,0
lying,lying,0.955,1,GREEN,0,0
lying,lying,0.951,1,GREEN,0,0
lying,lying,0.924,1,GREEN,0,0
lying,lying,0.904,1,GREEN,0,0
lying,lying,0.867,1,GREEN,0,0
lying,lying,0.881,1,GREEN,0,0
lying,lying,0.929,1,GREEN,0,0
lying,lying,0.942,1,GREEN,0,0
lying,lying,0.923,1,GREEN,0,0
lying,lying,0.929,1,GREEN,0,0
lying,lying,0.937,1,GREEN,0,0
lying,lying,0.942,1,GREEN,0,0
lying,lying,0.94,1,GREEN,0,0
lying,lying,0.931,1,GREEN,0,0
lying,lying,0.93,1,GREEN,0,0
lying,lying,0.93,1,GREEN,0,0
lying,lying,0.929,1,GREEN,0,0
lying,lying,0.928,1,GREEN,0,0
lying,lying,0.927,1,GREEN,0,0
lying,lying,0.923,1,GREEN,0,0
lying,lying,0.923,1,GREEN,0,0
lying,lying,0.935,1,GREEN,0,0
lying,lying,0.945,1,GREEN,0,0
lying,lying,0.938,1,GREEN,0,0
lying,lying,0.93,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.929,1,GREEN,0,0
lying,lying,0.929,1,GREEN,0,0
lying,lying,0.931,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.93,1,GREEN,0,0
lying,lying,0.93,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.931,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.932,1,GREEN,0,0
lying,lying,0.934,1,GREEN,0,0
lying,lying,0.928,1,GREEN,0,0
lying,lying,0.923,1,GREEN,0,0
lying,lying,0.928,1,GREEN,0,0
lying,lying,0.928,1,GREEN,0,0
lying,lying,0.927,1,GREEN,0,0
lying,lying,0.927,1,GREEN,0,0
lying,lying,0.929,1,GREEN,0,0
lying,lying,0.929,1,GREEN,0,0
lying,lying,0.927,1,GREEN,0,0
lying,lying,0.929,1,GREEN,0,0
lying,lying,0.93,1,GREEN,0,0
lying,lying,0.929,1,GREEN,0,0
lying,lying,0.928,1,GREEN,0,0
lying,lying,0.93,1,GREEN,0,0
lying,lying,0.93,1,GREEN,0,0
lying,lying,0.93,1,GREEN,0,0
lying,lying,0.931,1,GREEN,0,0
lying,lying,0.931,1,GREEN,0,0
lying,lying,0.93,1,GREEN,0,0
lying,lying,0.931,1,GREEN,0,0
lying,lying,0.93,1,GREEN,0,0
lying,lying,0.929,1,GREEN,0,0
lying,lying,0.93,1,GREEN,0,0
lying,lying,0.931,1,GREEN,0,0
lying,lying,0.931,1,GREEN,0,0
