subject,confidence,predicted_activity,actual_activity,is_correct,traffic_light
103,0.7353,ironing,lying,0,YELLOW
103,0.7889,ironing,lying,0,GREEN
103,0.79,ironing,lying,0,GREEN
103,0.7095,ironing,lying,0,YELLOW
103,0.5099,ironing,lying,0,YELLOW
103,0.3938,ironing,lying,0,RED
103,0.46,ironing,lying,0,YELLOW
103,0.7894,ironing,lying,0,GREEN
103,0.7151,ironing,lying,0,YELLOW
103,0.7699,ironing,lying,0,GREEN
103,0.4579,ironing,lying,0,YELLOW
103,0.4091,lying,lying,1,RED
103,0.4484,lying,lying,1,RED
103,0.598,lying,lying,1,YELLOW
103,0.6965,lying,lying,1,YELLOW
103,0.6652,lying,lying,1,YELLOW
103,0.8558,lying,lying,1,GREEN
103,0.9484,lying,lying,1,GREEN
103,0.9707,lying,lying,1,GREEN
103,0.9797,lying,lying,1,GREEN
103,0.9852,lying,lying,1,GREEN
103,0.989,lying,lying,1,GREEN
103,0.9933,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.9985,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.9985,lying,lying,1,GREEN
103,0.9985,lying,lying,1,GREEN
103,0.9985,lying,lying,1,GREEN
103,0.9985,lying,lying,1,GREEN
103,0.9985,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.9941,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.9918,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
