subject,confidence,predicted_activity,actual_activity,is_correct,traffic_light,window_id
103,0.7353,ironing,lying,0,YELLOW,103_0
103,0.7889,ironing,lying,0,GREEN,103_1
103,0.79,ironing,lying,0,GREEN,103_2
103,0.7095,ironing,lying,0,YELLOW,103_3
103,0.5099,ironing,lying,0,YELLOW,103_4
103,0.3938,ironing,lying,0,RED,103_5
103,0.46,ironing,lying,0,YELLOW,103_6
103,0.7894,ironing,lying,0,GREEN,103_7
103,0.7151,ironing,lying,0,YELLOW,103_8
103,0.7699,ironing,lying,0,GREEN,103_9
103,0.4579,ironing,lying,0,YELLOW,103_10
103,0.4091,lying,lying,1,RED,103_11
103,0.4484,lying,lying,1,RED,103_12
103,0.598,lying,lying,1,YELLOW,103_13
103,0.6965,lying,lying,1,YELLOW,103_14
103,0.6652,lying,lying,1,YELLOW,103_15
103,0.8558,lying,lying,1,GREEN,103_16
103,0.9484,lying,lying,1,GREEN,103_17
103,0.9707,lying,lying,1,GREEN,103_18
103,0.9797,lying,lying,1,GREEN,103_19
103,0.9852,lying,lying,1,GREEN,103_20
103,0.989,lying,lying,1,GREEN,103_21
103,0.9933,lying,lying,1,GREEN,103_22
103,0.9955,lying,lying,1,GREEN,103_23
103,1.0,lying,lying,1,GREEN,103_24
103,1.0,lying,lying,1,GREEN,103_25
103,1.0,lying,lying,1,GREEN,103_26
103,1.0,lying,lying,1,GREEN,103_27
103,1.0,lying,lying,1,GREEN,103_28
103,1.0,lying,lying,1,GREEN,103_29
103,1.0,lying,lying,1,GREEN,103_30
103,1.0,lying,lying,1,GREEN,103_31
103,1.0,lying,lying,1,GREEN,103_32
103,1.0,lying,lying,1,GREEN,103_33
103,1.0,lying,lying,1,GREEN,103_34
103,1.0,lying,lying,1,GREEN,103_35
103,0.997,lying,lying,1,GREEN,103_36
103,1.0,lying,lying,1,GREEN,103_37
103,1.0,lying,lying,1,GREEN,103_38
103,1.0,lying,lying,1,GREEN,103_39
103,0.9985,lying,lying,1,GREEN,103_40
103,1.0,lying,lying,1,GREEN,103_41
103,1.0,lying,lying,1,GREEN,103_42
103,1.0,lying,lying,1,GREEN,103_43
103,1.0,lying,lying,1,GREEN,103_44
103,1.0,lying,lying,1,GREEN,103_45
103,1.0,lying,lying,1,GREEN,103_46
103,1.0,lying,lying,1,GREEN,103_47
103,1.0,lying,lying,1,GREEN,103_48
103,1.0,lying,lying,1,GREEN,103_49
103,1.0,lying,lying,1,GREEN,103_50
103,0.9985,lying,lying,1,GREEN,103_51
103,0.9985,lying,lying,1,GREEN,103_52
103,0.9985,lying,lying,1,GREEN,103_53
103,0.9985,lying,lying,1,GREEN,103_54
103,0.9985,lying,lying,1,GREEN,103_55
103,0.997,lying,lying,1,GREEN,103_56
103,0.997,lying,lying,1,GREEN,103_57
103,0.9941,lying,lying,1,GREEN,103_58
103,0.997,lying,lying,1,GREEN,103_59
103,0.9955,lying,lying,1,GREEN,103_60
103,0.9955,lying,lying,1,GREEN,103_61
103,0.997,lying,lying,1,GREEN,103_62
103,0.997,lying,lying,1,GREEN,103_63
103,0.997,lying,lying,1,GREEN,103_64
103,0.997,lying,lying,1,GREEN,103_65
103,0.9918,lying,lying,1,GREEN,103_66
103,0.997,lying,lying,1,GREEN,103_67
103,0.997,lying,lying,1,GREEN,103_68
103,0.997,lying,lying,1,GREEN,103_69
103,0.9918,lying,lying,1,GREEN,103_70
103,0.997,lying,lying,1,GREEN,103_71
103,0.997,lying,lying,1,GREEN,103_72
103,0.997,lying,lying,1,GREEN,103_73
103,0.997,lying,lying,1,GREEN,103_74
103,0.997,lying,lying,1,GREEN,103_75
103,0.997,lying,lying,1,GREEN,103_76
103,0.997,lying,lying,1,GREEN,103_77
103,0.9955,lying,lying,1,GREEN,103_78
103,0.9941,lying,lying,1,GREEN,103_79
103,0.9941,lying,lying,1,GREEN,103_80
103,0.9941,lying,lying,1,GREEN,103_81
103,0.9941,lying,lying,1,GREEN,103_82
103,0.997,lying,lying,1,GREEN,103_83
103,0.997,lying,lying,1,GREEN,103_84
103,0.997,lying,lying,1,GREEN,103_85
103,0.997,lying,lying,1,GREEN,103_86
103,0.997,lying,lying,1,GREEN,103_87
103,0.9941,lying,lying,1,GREEN,103_88
103,0.997,lying,lying,1,GREEN,103_89
103,0.997,lying,lying,1,GREEN,103_90
103,0.997,lying,lying,1,GREEN,103_91
103,0.997,lying,lying,1,GREEN,103_92
103,0.997,lying,lying,1,GREEN,103_93
103,0.997,lying,lying,1,GREEN,103_94
103,0.997,lying,lying,1,GREEN,103_95
103,0.997,lying,lying,1,GREEN,103_96
103,0.997,lying,lying,1,GREEN,103_97
103,0.997,lying,lying,1,GREEN,103_98
103,0.997,lying,lying,1,GREEN,103_99
103,0.997,lying,lying,1,GREEN,103_100
103,0.997,lying,lying,1,GREEN,103_101
103,0.997,lying,lying,1,GREEN,103_102
103,0.997,lying,lying,1,GREEN,103_103
103,0.997,lying,lying,1,GREEN,103_104
103,0.997,lying,lying,1,GREEN,103_105
103,0.9955,lying,lying,1,GREEN,103_106
103,0.997,lying,lying,1,GREEN,103_107
103,0.997,lying,lying,1,GREEN,103_108
103,0.9955,lying,lying,1,GREEN,103_109
103,0.9911,lying,lying,1,GREEN,103_110
103,0.9896,lying,lying,1,GREEN,103_111
103,0.9955,lying,lying,1,GREEN,103_112
103,0.997,lying,lying,1,GREEN,103_113
103,0.997,lying,lying,1,GREEN,103_114
103,0.997,lying,lying,1,GREEN,103_115
103,0.997,lying,lying,1,GREEN,103_116
103,0.997,lying,lying,1,GREEN,103_117
103,0.997,lying,lying,1,GREEN,103_118
103,0.997,lying,lying,1,GREEN,103_119
103,0.997,lying,lying,1,GREEN,103_120
103,0.997,lying,lying,1,GREEN,103_121
103,0.9955,lying,lying,1,GREEN,103_122
103,0.997,lying,lying,1,GREEN,103_123
103,0.997,lying,lying,1,GREEN,103_124
103,0.997,lying,lying,1,GREEN,103_125
103,0.997,lying,lying,1,GREEN,103_126
103,0.997,lying,lying,1,GREEN,103_127
103,0.997,lying,lying,1,GREEN,103_128
103,0.997,lying,lying,1,GREEN,103_129
103,0.997,lying,lying,1,GREEN,103_130
103,0.9941,lying,lying,1,GREEN,103_131
103,0.9955,lying,lying,1,GREEN,103_132
103,0.997,lying,lying,1,GREEN,103_133
103,0.997,lying,lying,1,GREEN,103_134
103,0.997,lying,lying,1,GREEN,103_135
103,0.997,lying,lying,1,GREEN,103_136
103,0.997,lying,lying,1,GREEN,103_137
103,0.997,lying,lying,1,GREEN,103_138
103,0.997,lying,lying,1,GREEN,103_139
103,0.997,lying,lying,1,GREEN,103_140
103,0.997,lying,lying,1,GREEN,103_141
103,0.997,lying,lying,1,GREEN,103_142
103,0.997,lying,lying,1,GREEN,103_143
103,0.997,lying,lying,1,GREEN,103_144
103,0.997,lying,lying,1,GREEN,103_145
103,0.997,lying,lying,1,GREEN,103_146
103,0.9926,lying,lying,1,GREEN,103_147
103,0.997,lying,lying,1,GREEN,103_148
103,0.997,lying,lying,1,GREEN,103_149
103,0.997,lying,lying,1,GREEN,103_150
103,0.997,lying,lying,1,GREEN,103_151
103,0.997,lying,lying,1,GREEN,103_152
103,0.997,lying,lying,1,GREEN,103_153
103,0.997,lying,lying,1,GREEN,103_154
103,0.9911,lying,lying,1,GREEN,103_155
103,0.9955,lying,lying,1,GREEN,103_156
103,0.997,lying,lying,1,GREEN,103_157
103,0.997,lying,lying,1,GREEN,103_158
103,0.997,lying,lying,1,GREEN,103_159
103,0.997,lying,lying,1,GREEN,103_160
103,0.997,lying,lying,1,GREEN,103_161
103,0.997,lying,lying,1,GREEN,103_162
103,0.997,lying,lying,1,GREEN,103_163
103,0.9955,lying,lying,1,GREEN,103_164
103,0.9955,lying,lying,1,GREEN,103_165
103,0.997,lying,lying,1,GREEN,103_166
103,0.997,lying,lying,1,GREEN,103_167
103,0.9941,lying,lying,1,GREEN,103_168
103,0.997,lying,lying,1,GREEN,103_169
103,0.997,lying,lying,1,GREEN,103_170
103,0.997,lying,lying,1,GREEN,103_171
103,0.997,lying,lying,1,GREEN,103_172
103,0.997,lying,lying,1,GREEN,103_173
103,0.997,lying,lying,1,GREEN,103_174
103,0.997,lying,lying,1,GREEN,103_175
103,0.997,lying,lying,1,GREEN,103_176
103,0.997,lying,lying,1,GREEN,103_177
103,0.997,lying,lying,1,GREEN,103_178
103,0.997,lying,lying,1,GREEN,103_179
103,0.997,lying,lying,1,GREEN,103_180
103,0.997,lying,lying,1,GREEN,103_181
103,0.997,lying,lying,1,GREEN,103_182
103,0.997,lying,lying,1,GREEN,103_183
103,0.9985,lying,lying,1,GREEN,103_184
103,0.9948,lying,lying,1,GREEN,103_185
103,0.9941,lying,lying,1,GREEN,103_186
103,1.0,lying,lying,1,GREEN,103_187
103,1.0,lying,lying,1,GREEN,103_188
103,0.997,lying,lying,1,GREEN,103_189
103,1.0,lying,lying,1,GREEN,103_190
103,1.0,lying,lying,1,GREEN,103_191
103,1.0,lying,lying,1,GREEN,103_192
103,1.0,lying,lying,1,GREEN,103_193
103,1.0,lying,lying,1,GREEN,103_194
103,1.0,lying,lying,1,GREEN,103_195
103,1.0,lying,lying,1,GREEN,103_196
103,1.0,lying,lying,1,GREEN,103_197
103,1.0,lying,lying,1,GREEN,103_198
103,1.0,lying,lying,1,GREEN,103_199
103,1.0,lying,lying,1,GREEN,103_200
103,1.0,lying,lying,1,GREEN,103_201
103,1.0,lying,lying,1,GREEN,103_202
103,1.0,lying,lying,1,GREEN,103_203
103,1.0,lying,lying,1,GREEN,103_204
103,1.0,lying,lying,1,GREEN,103_205
103,1.0,lying,lying,1,GREEN,103_206
103,1.0,lying,lying,1,GREEN,103_207
103,1.0,lying,lying,1,GREEN,103_208
103,0.9985,lying,lying,1,GREEN,103_209
103,0.9985,lying,lying,1,GREEN,103_210
103,1.0,lying,lying,1,GREEN,103_211
103,1.0,lying,lying,1,GREEN,103_212
103,1.0,lying,lying,1,GREEN,103_213
103,1.0,lying,lying,1,GREEN,103_214
103,1.0,lying,lying,1,GREEN,103_215
103,1.0,lying,lying,1,GREEN,103_216
103,1.0,lying,lying,1,GREEN,103_217
103,1.0,lying,lying,1,GREEN,103_218
103,1.0,lying,lying,1,GREEN,103_219
103,1.0,lying,lying,1,GREEN,103_220
103,1.0,lying,lying,1,GREEN,103_221
103,1.0,lying,lying,1,GREEN,103_222
103,1.0,lying,lying,1,GREEN,103_223
103,1.0,lying,lying,1,GREEN,103_224
103,1.0,lying,lying,1,GREEN,103_225
103,1.0,lying,lying,1,GREEN,103_226
103,1.0,lying,lying,1,GREEN,103_227
103,1.0,lying,lying,1,GREEN,103_228
103,1.0,lying,lying,1,GREEN,103_229
103,1.0,lying,lying,1,GREEN,103_230
103,1.0,lying,lying,1,GREEN,103_231
103,1.0,lying,lying,1,GREEN,103_232
103,1.0,lying,lying,1,GREEN,103_233
103,1.0,lying,lying,1,GREEN,103_234
103,1.0,lying,lying,1,GREEN,103_235
103,1.0,lying,lying,1,GREEN,103_236
103,1.0,lying,lying,1,GREEN,103_237
103,1.0,lying,lying,1,GREEN,103_238
103,1.0,lying,lying,1,GREEN,103_239
103,1.0,lying,lying,1,GREEN,103_240
103,1.0,lying,lying,1,GREEN,103_241
103,1.0,lying,lying,1,GREEN,103_242
103,1.0,lying,lying,1,GREEN,103_243
103,1.0,lying,lying,1,GREEN,103_244
103,1.0,lying,lying,1,GREEN,103_245
103,1.0,lying,lying,1,GREEN,103_246
103,1.0,lying,lying,1,GREEN,103_247
103,1.0,lying,lying,1,GREEN,103_248
103,1.0,lying,lying,1,GREEN,103_249
103,1.0,lying,lying,1,GREEN,103_250
103,1.0,lying,lying,1,GREEN,103_251
103,1.0,lying,lying,1,GREEN,103_252
103,1.0,lying,lying,1,GREEN,103_253
103,1.0,lying,lying,1,GREEN,103_254
103,1.0,lying,lying,1,GREEN,103_255
103,1.0,lying,lying,1,GREEN,103_256
103,1.0,lying,lying,1,GREEN,103_257
103,1.0,lying,lying,1,GREEN,103_258
103,1.0,lying,lying,1,GREEN,103_259
103,1.0,lying,lying,1,GREEN,103_260
103,1.0,lying,lying,1,GREEN,103_261
