window_id,subject,confidence,predicted_activity,actual_activity,is_correct,traffic_light
101_0,101,0.2802,lying,lying,1,RED
101_1,101,0.3444,lying,lying,1,RED
101_2,101,0.4315,lying,lying,1,RED
101_3,101,0.4159,lying,lying,1,RED
101_4,101,0.4284,lying,lying,1,RED
101_5,101,0.4399,lying,lying,1,RED
101_6,101,0.4332,lying,lying,1,RED
101_7,101,0.4325,lying,lying,1,RED
101_8,101,0.4142,lying,lying,1,RED
101_9,101,0.4643,lying,lying,1,YELLOW
101_10,101,0.4624,lying,lying,1,YELLOW
101_11,101,0.389,lying,lying,1,RED
101_12,101,0.3838,lying,lying,1,RED
101_13,101,0.3863,lying,lying,1,RED
101_14,101,0.4543,lying,lying,1,YELLOW
101_15,101,0.4822,lying,lying,1,YELLOW
101_16,101,0.5755,lying,lying,1,YELLOW
101_17,101,0.4653,lying,lying,1,YELLOW
101_18,101,0.5438,lying,lying,1,YELLOW
101_19,101,0.5177,lying,lying,1,YELLOW
101_20,101,0.6521,lying,lying,1,YELLOW
101_21,101,0.6461,lying,lying,1,YELLOW
101_22,101,0.8284,lying,lying,1,GREEN
101_23,101,0.9059,lying,lying,1,GREEN
101_24,101,0.9626,lying,lying,1,GREEN
101_25,101,0.9723,lying,lying,1,GREEN
101_26,101,0.9838,lying,lying,1,GREEN
101_27,101,0.9724,lying,lying,1,GREEN
101_28,101,0.9507,lying,lying,1,GREEN
101_29,101,0.9646,lying,lying,1,GREEN
101_30,101,0.9849,lying,lying,1,GREEN
101_31,101,0.9879,lying,lying,1,GREEN
101_32,101,0.9933,lying,lying,1,GREEN
101_33,101,0.9751,lying,lying,1,GREEN
101_34,101,0.9748,lying,lying,1,GREEN
101_35,101,0.9758,lying,lying,1,GREEN
101_36,101,0.9877,lying,lying,1,GREEN
101_37,101,0.9933,lying,lying,1,GREEN
101_38,101,0.9918,lying,lying,1,GREEN
101_39,101,0.9933,lying,lying,1,GREEN
101_40,101,0.9903,lying,lying,1,GREEN
101_41,101,0.9891,lying,lying,1,GREEN
101_42,101,0.9891,lying,lying,1,GREEN
101_43,101,0.9891,lying,lying,1,GREEN
101_44,101,0.9891,lying,lying,1,GREEN
101_45,101,0.9891,lying,lying,1,GREEN
101_46,101,0.9891,lying,lying,1,GREEN
101_47,101,0.9891,lying,lying,1,GREEN
101_48,101,0.9891,lying,lying,1,GREEN
101_49,101,0.9891,lying,lying,1,GREEN
101_50,101,0.9891,lying,lying,1,GREEN
101_51,101,0.9891,lying,lying,1,GREEN
101_52,101,0.9891,lying,lying,1,GREEN
101_53,101,0.9891,lying,lying,1,GREEN
101_54,101,0.9891,lying,lying,1,GREEN
101_55,101,0.9891,lying,lying,1,GREEN
