true_activity,pred_activity,confidence,is_correct,traffic_light,y_true_enc,y_pred_enc
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,vacuuming,0.091,0,RED,0,9
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,cycling,0.091,0,RED,0,5
lying,running,0.091,0,RED,0,4
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.09,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.09,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.09,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,standing,0.091,0,RED,0,2
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,standing,0.091,0,RED,0,2
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,vacuuming,0.091,0,RED,0,9
lying,stairs_down,0.09,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.09,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,standing,0.091,0,RED,0,2
lying,vacuuming,0.091,0,RED,0,9
lying,sitting,0.091,0,RED,0,1
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
lying,stairs_down,0.091,0,RED,0,8
