true_activity,pred_activity,confidence,is_correct,reliability,traffic_light
lying,standing,0.329,0,0.0,RED
lying,standing,0.457,0,0.0,YELLOW
lying,standing,0.366,0,0.0,RED
lying,lying,0.381,1,0.381,RED
lying,lying,0.311,1,0.311,RED
lying,lying,0.274,1,0.274,RED
lying,lying,0.27,1,0.27,RED
lying,lying,0.399,1,0.399,RED
lying,lying,0.356,1,0.356,RED
lying,lying,0.302,1,0.302,RED
lying,lying,0.469,1,0.469,YELLOW
lying,lying,0.532,1,0.532,YELLOW
lying,lying,0.668,1,0.668,YELLOW
lying,lying,0.537,1,0.537,YELLOW
lying,lying,0.482,1,0.482,YELLOW
lying,lying,0.671,1,0.671,YELLOW
lying,lying,0.638,1,0.638,YELLOW
lying,lying,0.74,1,0.74,YELLOW
lying,lying,0.758,1,0.758,GREEN
lying,lying,0.763,1,0.763,GREEN
lying,lying,0.836,1,0.836,GREEN
lying,lying,0.99,1,0.99,GREEN
lying,lying,0.986,1,0.986,GREEN
lying,lying,0.988,1,0.988,GREEN
lying,lying,0.987,1,0.987,GREEN
lying,lying,0.982,1,0.982,GREEN
lying,lying,0.863,1,0.863,GREEN
lying,lying,0.884,1,0.884,GREEN
lying,lying,0.986,1,0.986,GREEN
lying,lying,0.989,1,0.989,GREEN
lying,lying,0.983,1,0.983,GREEN
lying,lying,0.927,1,0.927,GREEN
lying,lying,0.942,1,0.942,GREEN
lying,lying,0.998,1,0.998,GREEN
lying,lying,1.0,1,1.0,GREEN
lying,lying,0.996,1,0.996,GREEN
lying,lying,0.993,1,0.993,GREEN
lying,lying,0.998,1,0.998,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.998,1,0.998,GREEN
lying,lying,0.998,1,0.998,GREEN
lying,lying,0.998,1,0.998,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.996,1,0.996,GREEN
lying,lying,0.992,1,0.992,GREEN
lying,lying,0.997,1,0.997,GREEN
lying,lying,0.992,1,0.992,GREEN
lying,lying,0.992,1,0.992,GREEN
lying,lying,0.994,1,0.994,GREEN
lying,lying,0.998,1,0.998,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.993,1,0.993,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.993,1,0.993,GREEN
lying,lying,0.997,1,0.997,GREEN
lying,lying,0.993,1,0.993,GREEN
lying,lying,0.993,1,0.993,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.998,1,0.998,GREEN
lying,lying,0.998,1,0.998,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
lying,lying,0.999,1,0.999,GREEN
