true_activity,pred_activity,confidence,is_correct,traffic_light,y_true_enc,y_pred_enc
lying,standing,0.013,0,RED,0,2
lying,standing,0.017,0,RED,0,2
lying,standing,0.02,0,RED,0,2
lying,standing,0.015,0,RED,0,2
lying,standing,0.013,0,RED,0,2
lying,standing,0.011,0,RED,0,2
lying,standing,0.008,0,RED,0,2
lying,standing,0.007,0,RED,0,2
lying,standing,0.007,0,RED,0,2
lying,lying,0.097,1,RED,0,0
lying,lying,0.466,1,YELLOW,0,0
lying,lying,0.207,1,RED,0,0
lying,lying,0.043,1,RED,0,0
lying,lying,0.306,1,RED,0,0
lying,lying,0.537,1,YELLOW,0,0
lying,lying,0.898,1,GREEN,0,0
lying,lying,0.949,1,GREEN,0,0
lying,lying,0.977,1,GREEN,0,0
lying,lying,0.991,1,GREEN,0,0
lying,lying,0.928,1,GREEN,0,0
lying,lying,0.968,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.998,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.998,1,GREEN,0,0
lying,lying,0.99,1,GREEN,0,0
lying,lying,0.994,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.997,1,GREEN,0,0
lying,lying,0.997,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
lying,lying,0.999,1,GREEN,0,0
