true_activity,pred_activity,confidence,is_correct,traffic_light,y_true_enc,y_pred_enc
lying,stairs_up,0.059,0,RED,0,7
lying,stairs_up,0.059,0,RED,0,7
lying,stairs_up,0.061,0,RED,0,7
lying,stairs_up,0.061,0,RED,0,7
lying,stairs_up,0.057,0,RED,0,7
lying,stairs_up,0.051,0,RED,0,7
lying,stairs_up,0.04,0,RED,0,7
lying,stairs_up,0.032,0,RED,0,7
lying,stairs_up,0.039,0,RED,0,7
lying,stairs_up,0.019,0,RED,0,7
lying,stairs_up,0.007,0,RED,0,7
lying,lying,0.001,1,RED,0,0
lying,lying,0.001,1,RED,0,0
lying,lying,0.008,1,RED,0,0
lying,lying,0.099,1,RED,0,0
lying,lying,0.618,1,YELLOW,0,0
lying,lying,0.747,1,YELLOW,0,0
lying,lying,0.783,1,GREEN,0,0
lying,lying,0.862,1,GREEN,0,0
lying,lying,0.902,1,GREEN,0,0
lying,lying,0.93,1,GREEN,0,0
lying,lying,0.938,1,GREEN,0,0
lying,lying,0.935,1,GREEN,0,0
lying,lying,0.935,1,GREEN,0,0
lying,lying,0.941,1,GREEN,0,0
lying,lying,0.952,1,GREEN,0,0
lying,lying,0.945,1,GREEN,0,0
lying,lying,0.94,1,GREEN,0,0
lying,lying,0.933,1,GREEN,0,0
lying,lying,0.934,1,GREEN,0,0
lying,lying,0.936,1,GREEN,0,0
lying,lying,0.94,1,GREEN,0,0
lying,lying,0.939,1,GREEN,0,0
lying,lying,0.935,1,GREEN,0,0
lying,lying,0.937,1,GREEN,0,0
lying,lying,0.939,1,GREEN,0,0
lying,lying,0.938,1,GREEN,0,0
lying,lying,0.937,1,GREEN,0,0
lying,lying,0.938,1,GREEN,0,0
lying,lying,0.938,1,GREEN,0,0
lying,lying,0.939,1,GREEN,0,0
lying,lying,0.938,1,GREEN,0,0
lying,lying,0.937,1,GREEN,0,0
lying,lying,0.937,1,GREEN,0,0
lying,lying,0.938,1,GREEN,0,0
lying,lying,0.94,1,GREEN,0,0
lying,lying,0.942,1,GREEN,0,0
lying,lying,0.937,1,GREEN,0,0
lying,lying,0.934,1,GREEN,0,0
lying,lying,0.937,1,GREEN,0,0
