true_activity,pred_activity,confidence,is_correct,traffic_light,y_true_enc,y_pred_enc
lying,lying,0.801,1,GREEN,0,0
lying,lying,0.8,1,GREEN,0,0
lying,lying,0.802,1,GREEN,0,0
lying,lying,0.803,1,GREEN,0,0
lying,lying,0.799,1,GREEN,0,0
lying,lying,0.798,1,GREEN,0,0
lying,lying,0.782,1,GREEN,0,0
lying,lying,0.787,1,GREEN,0,0
lying,lying,0.806,1,GREEN,0,0
lying,lying,0.482,1,YELLOW,0,0
lying,lying,0.157,1,RED,0,0
lying,lying,0.063,1,RED,0,0
lying,lying,0.037,1,RED,0,0
lying,lying,0.174,1,RED,0,0
lying,lying,0.562,1,YELLOW,0,0
lying,lying,0.802,1,GREEN,0,0
lying,lying,0.912,1,GREEN,0,0
lying,lying,0.937,1,GREEN,0,0
lying,lying,0.95,1,GREEN,0,0
lying,lying,0.954,1,GREEN,0,0
lying,lying,0.957,1,GREEN,0,0
lying,lying,0.967,1,GREEN,0,0
lying,lying,0.964,1,GREEN,0,0
lying,lying,0.965,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.964,1,GREEN,0,0
lying,lying,0.955,1,GREEN,0,0
lying,lying,0.958,1,GREEN,0,0
lying,lying,0.962,1,GREEN,0,0
lying,lying,0.963,1,GREEN,0,0
lying,lying,0.964,1,GREEN,0,0
lying,lying,0.962,1,GREEN,0,0
lying,lying,0.965,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.967,1,GREEN,0,0
lying,lying,0.967,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.967,1,GREEN,0,0
lying,lying,0.967,1,GREEN,0,0
lying,lying,0.967,1,GREEN,0,0
lying,lying,0.967,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.967,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.965,1,GREEN,0,0
lying,lying,0.965,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
lying,lying,0.966,1,GREEN,0,0
